regionID;constellationID;solarSystemID;solarSystemName;security;radius
10000001;20000001;30000001;Tanoo;0,858324068848468;1323338364984
10000001;20000001;30000002;Lashesih;0,751689146697987;1018399993728
10000001;20000001;30000003;Akpivem;0,846292352426726;2473362499136
10000001;20000001;30000004;Jark;0,817000531228727;1771412319698
10000001;20000001;30000005;Sasta;0,814336728101234;2563946355912
10000001;20000001;30000006;Zaid;0,864229153396284;1734441937976
10000001;20000001;30000007;Yuzier;0,906555510469601;1297306278056
10000001;20000001;30000008;Nirbhi;0,882115714763018;3716798399124
10000001;20000002;30000009;Sooma;0,57781948156321;1835829276688
10000001;20000002;30000010;Chidah;0,539052013003089;2834263129672
10000001;20000002;30000011;Shenela;0,456959354735403;1295576124296
10000001;20000002;30000012;Asabona;0,322884272450518;3075451729664
10000001;20000002;30000013;Onsooh;0,442816632886763;3468485663152
10000001;20000002;30000014;Shamahi;0,355242291075942;4388111818136
10000001;20000002;30000015;Sendaya;0,293932972095294;2835135884784
10000001;20000002;30000016;Nazhgete;0,391497055683935;1414100419584
10000001;20000003;30000017;Futzchag;0,172228559767585;4132975862416
10000001;20000003;30000018;Kazna;0,231262625040188;2506119728892
10000001;20000003;30000019;Podion;0,109704972598651;2620460967184
10000001;20000003;30000020;Lilmad;0,1604491933025;5267542872992
10000001;20000003;30000021;Kuharah;0,189705283105681;5348679154648
10000001;20000003;30000022;Jayneleb;0,113839956995903;5893956788464
10000001;20000004;30000023;Fovihi;0,869394349221088;2969284249148
10000001;20000004;30000024;Kiereend;0,840834548322929;1462680630932
10000001;20000004;30000025;Rashy;0,803265994106465;3044933134604
10000001;20000004;30000026;Ordize;0,695564173138387;4739299157720
10000001;20000004;30000027;Psasa;0,74991328878682;1980465634544
10000001;20000004;30000028;Eshtah;0,768432631428651;5016556149184
10000001;20000004;30000029;Lachailes;0,573051226792107;887293963556
10000001;20000004;30000030;Kasrasi;0,573075677011312;1323487276548
10000001;20000005;30000031;Mohas;0,681783438209048;1283653050240
10000001;20000005;30000032;Hasiari;0,798187617055237;1793587616000
10000001;20000005;30000033;Radima;0,75391995235005;3709557046400
10000001;20000005;30000034;Alkez;0,782122909851242;1917034706800
10000001;20000005;30000035;Nimambal;0,594050570256138;2348147057528
10000001;20000005;30000036;Yishinoon;0,424718182039381;3881923473336
10000001;20000005;30000037;Uplingur;0,422069314931671;3975502910314
10000001;20000006;30000038;Dooz;0,423728855186249;857129460388
10000001;20000006;30000039;Bayuka;0,400722036484829;3294057667732
10000001;20000006;30000040;Uzistoon;0,390645600822198;2103486848724
10000001;20000006;30000041;Bairshir;0,36408774701497;2110378876364
10000001;20000006;30000042;Moh;0,472835003937131;4946503351372
10000001;20000006;30000043;Sari;0,379343121688665;2426401977928
10000001;20000007;30000044;Faspera;0,12825847580852;842988087840
10000001;20000007;30000045;Jaymass;0,216311339767522;3467864000712
10000001;20000007;30000046;Mifrata;0,303802990131855;2431497951200
10000001;20000007;30000047;Majamar;0,369186257658592;6331382827616
10000001;20000007;30000048;Ihal;0,492701244651463;4679239086184
10000001;20000007;30000049;Camal;0,212976884921542;1602929258280
10000001;20000007;30000050;Fera;0,477246353538886;440937055952
10000001;20000008;30000051;Juddi;0,649136638606088;3664132260188
10000001;20000008;30000052;Maspah;0,799900976516899;2318427568856
10000001;20000008;30000053;Ibaria;0,730978722487679;384225822320
10000001;20000008;30000054;Shala;0,715563758408769;3471753353664
10000001;20000008;30000055;Zemalu;0,725158525323317;1274973405164
10000001;20000008;30000056;Khankenirdia;0,613595835446554;3281192367384
10000001;20000009;30000057;Nikh;0,774198460516647;4598617403668
10000001;20000009;30000058;Amphar;0,702186994980565;1359562647344
10000001;20000009;30000059;Salashayama;0,665586231399705;1976938754072
10000001;20000009;30000060;Janus;0,545570545274901;2540231166708
10000001;20000009;30000061;Agha;0,718782620789887;1443279450256
10000001;20000009;30000062;Iosantin;0,450343350098048;998212186708
10000001;20000009;30000063;Orva;0,509949588827775;3453450616288
10000001;20000009;30000064;Zet;0,569697661152562;3642599907084
10000001;20000009;30000065;Akhrad;0,358476524759994;3093933351904
10000001;20000009;30000066;Pirohdim;0,628696090011916;6884440708384
10000001;20000009;30000067;Sharir;0,396848687035075;3325006146924
10000001;20000009;30000068;Usroh;0,597457508093388;1427242490504
10000001;20000009;30000069;Thiarer;0,542032780841138;1430630751424
10000001;20000010;30000070;Gomati;0,387421323795231;1950828774872
10000001;20000010;30000071;Jangar;0,527328625423247;1333350620600
10000001;20000010;30000072;Nakah;0,363864338436054;645474412840
10000001;20000010;30000073;Irshah;0,429506645047493;3512344975656
10000001;20000010;30000074;Hasateem;0,426496411960909;2089420678352
10000001;20000010;30000075;Assah;0,297802198707538;2681177697144
10000001;20000011;30000076;Tidacha;0,820099044824579;2207969906304
10000001;20000011;30000077;Odlib;0,824516600898814;2530435416980
10000001;20000011;30000078;Jofan;0,779548203790202;3484039331156
10000001;20000011;30000079;Milu;0,769625317613343;2009050191076
10000001;20000011;30000080;Yadi;0,750268475690111;2823739032304
10000001;20000011;30000081;Buftiar;0,70874129661025;3027305567524
